CITY/COMMUNITY**,Cases,Case Rate1,Deaths,Death Rate2
Unincorporated - Florence-Firestone,1936,2992,28,43
Unincorporated - Franklin Canyon,0,0,0,0
Unincorporated - Glendora,4,606,0,0
Unincorporated - Hacienda Heights,588,1051,4,7
Unincorporated - Harbor Gateway,0,0,0,0
Unincorporated - Hawthorne,29,1154,0,0
Unincorporated - Hi Vista,1,91,0,0
Unincorporated - Kagel/Lopez Canyons,13,921,1,71
Unincorporated - La Crescenta-Montrose,83,419,1,5
Unincorporated - La Habra Heights,0,0,0,0
Unincorporated - La Rambla,69,3325,8,386
Unincorporated - La Verne*,16,784,0,0
Unincorporated - Ladera Heights,46,651,1,14
Unincorporated - Lake Hughes,1,150,0,0
Unincorporated - Lake Los Angeles,96,739,2,15
Unincorporated - Lake Manor,13,791,0,0
Unincorporated - Lakewood,0,0,0,0
Unincorporated - Lennox,347,1539,3,13
Unincorporated - Leona Valley,14,800,0,0
Unincorporated - Littlerock,40,995,0,0
Unincorporated - Littlerock/Juniper Hills,4,308,0,0
Unincorporated - Littlerock/Pearblossom,44,1233,0,0
Unincorporated - Llano,2,228,0,0
Unincorporated - Marina del Rey,43,457,1,11
Unincorporated - Miracle Mile,0,0,0,0
Unincorporated - Monrovia,51,1314,0,0
Unincorporated - Newhall,4,1818,0,0
Unincorporated - North Lancaster,8,668,0,0
Unincorporated - North Whittier,107,1280,2,24
Unincorporated - Northeast San Gabriel,181,753,5,21
Unincorporated - Padua Hills,1,465,0,0
Unincorporated - Palmdale,13,1544,0,0
Unincorporated - Palos Verdes Peninsula,1,161,0,0
Unincorporated - Pearblossom/Llano,12,613,1,51
Unincorporated - Pellissier Village,13,2100,0,0
Unincorporated - Placerita Canyon,0,0,0,0
Unincorporated - Pomona,8,413,1,52
Unincorporated - Quartz Hill,96,744,10,77
Unincorporated - Rancho Dominguez,47,1766,1,38
Unincorporated - Roosevelt,3,322,0,0
Unincorporated - Rosewood,14,1089,0,0
Unincorporated - Rosewood/East Gardena,11,922,0,0
Unincorporated - Rosewood/West Rancho Dominguez,53,1577,0,0
Unincorporated - Rowland Heights,380,745,7,14
Unincorporated - San Clemente Island,0,0,0,0
Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0,0,0
Unincorporated - San Jose Hills,355,1756,5,25
Unincorporated - San Pasqual,6,295,0,0
Unincorporated - Sand Canyon,2,649,0,0
Unincorporated - Santa Catalina Island,6,2247,0,0
Unincorporated - Santa Monica Mountains*,69,371,1,5
Unincorporated - Saugus,11,7097,0,0
Unincorporated - Saugus/Canyon Country,1,281,0,0
Unincorporated - South Antelope Valley,1,220,0,0
Unincorporated - South El Monte,37,2061,0,0
Unincorporated - South San Gabriel,111,1255,5,57
Unincorporated - South Whittier,938,1584,12,20
Unincorporated - Southeast Antelope Valley,8,1024,0,0
